,Description,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Model config
0,Main BRF only cat and num (train),0.9996744954679754,0.9938266995245563,0.9967420204466303,0.9988553138844686,40160,39925,248,13,model_305
0,Main BRF only cat and num (test),0.11799733604951813,0.33223031105228323,0.17414431082331175,0.7260776290046556,89094,1506,3027,11257,model_305
