Feature Name,Score
OBS Delivered,-2.7025241429306153
alc_days,-1.5901254882323037
New Acute Patient,-1.140497889287649
Direct Entry,-0.8607470914096057
z751,-0.855814997625021
elective admission,-0.8495398303381003
1sa74pfnw,-0.8495289896296089
1fm87vw,-0.8318421237227054
Unplanned Readmit,0.7666202600597973
o32101,-0.7641678531277102
m4622,0.7587196077677979
Newborn,0.7512075044275889
z38000,-0.743688126921649
o34201,0.7274587997846742
z38010,-0.6522869505114953
level 1 comorbidity,0.6431001783136086
z515,-0.6268672651382018
o75701,-0.5690415341132761
j441,0.5343515778105113
1cx74wq,-0.51561050143612
Day Surgery Entry,-0.5016450882741049
1ee74lanw,-0.48284086992158065
1es87la,-0.45072481116775004
5pc80jp,-0.4394296018570352
o62101,-0.4322872580761375
1gr89da,-0.43129141631390483
2gt70la,-0.42896571681014817
urgent admission,0.42876491647959275
1cn59lagy,-0.4208901195818151
p0599,-0.42057402308784636
m080,-0.4027292453706368
transfusion given,0.39889366651299507
m165,-0.3935328849078726
1vg53lappn,-0.3924437263913073
case_weight,-0.39043525409569474
Cardiology,0.38459605306537814
1gc50babp,-0.3813381643471862
o42121,-0.3739955654483721
i500,0.35634036471809677
w01,-0.35008849066021375
d252,-0.34509736969330135
1mc87laxxe,-0.3349875098639805
s355,0.33444532384036146
1me87la,-0.3328270554315879
z38300,-0.3164483860861226
5ld31ap,0.31567900073600175
m1391,-0.31508951300356575
Cardiovascular Surgery,0.3149001545538786
g551,0.31336380394143515
Psychiatry,0.30904049725841204
Family Practice,0.30892097081183234
o48001,-0.3084449056337607
1je51la,-0.30678420083704244
k0763,-0.30589072796675587
d069,-0.30574452739114955
m2581,-0.30533125143833467
m8705,-0.3018588138314889
i615,-0.2987859909279052
p221,-0.2965060106945873
General Medicine,0.29269337951609364
1fm87vwxxg,-0.29260921709160226
2eq70la,0.29143991212438636
3jw10va,-0.28952818940315656
1ym89laxxe,-0.2893175655539879
Thoracic Surgery,-0.28922844116326923
s62320,0.28749862088345296
b258,0.2865548128329365
1hn80gpfl,-0.280865461464897
s02600,-0.2800536606930434
s0636,-0.2789218158066573
c795,0.27888965769924334
o69201,-0.2777226056989106
1va53lapnn,-0.2756233196603213
y833,0.27532621449463796
1cj52ha,-0.27486419354031505
k082,-0.27389359872846253
o70101,-0.2737041617931679
5md54kl,0.2735244387280921
1yt58laxxf,-0.2726094231039095
y832,0.2720024343419912
1ey87ba,-0.27141007623866187
b441,0.2712946733001968
2pb71ha,0.2666808991573791
o62201,-0.26583940575677184
o66501,0.265540901755847
m8565,-0.26431629208229734
k566,0.26314222807150156
cmg,-0.26280655355215804
z37000,-0.26165477774694607
1tx52ha,-0.259574453830972
y600,0.2588766061730981
r113,0.25780927998423
i398,0.25778046626339174
f063,0.2559566801335594
1ge87ba,-0.2524592103180461
1me87da,-0.2521687801185394
m170,-0.250143921700227
s31000,-0.24999942132232425
c049,0.24947154309369082
b376,-0.24909476450776158
s250,-0.24898464634200695
1kt51gqgf,-0.24686782146013306
1zz35ha1c,-0.24635694847021258
1yy54ladv,-0.24423635397027407
5pc91hn,0.2437555977602066
1gj50babd,-0.2437308790845827
z38310,-0.24366017047259625
1qm80la,-0.24324957558867288
s72100,-0.24217813835460628
m8996,-0.24048693917787495
i469,-0.23936984209232867
i211,-0.2392345825968174
1yg80laxxe,-0.23850483054485475
1ed80lanw,-0.23792480694232357
a021,0.23783332535099708
c920,0.23764080641646249
p220,-0.23694887679300378
1fj91laxxf,-0.23609807193825452
j339,-0.23500024357794727
1id50gqbd,-0.2343030906732478
1fg80laxxe,-0.2341944868436282
d34,-0.2336923719008208
i862,0.23297246241217406
is alc,-0.23250076519652063
y831,0.23138718768067
z38001,-0.22934622875172142
i639,-0.22918821688012891
p961,-0.22628504581619496
w1809,-0.2246613291211581
o66401,-0.2246356966744941
1wv80la,-0.22427096279420716
1vg53lapnn,-0.22373465291208874
o75881,-0.2226632096319357
level 4 comorbidity,-0.2201956914597237
5md60aa,0.21944639361865373
1ye80laxxe,0.21847779260917863
s92401,-0.21785709680462698
u980,-0.21781533612318235
acute_days,-0.21702005009507874
o42901,-0.2167370978084116
1gz31cand,-0.21592091749257206
1ta53lapnn,-0.2135831545565677
r18,0.21357373755272183
o75601,0.21284654988728427
g9600,-0.21193517707788298
1wi74hakd,0.20972979236896389
2gj71ba,0.20875018099732165
k729,0.20854930286849258
k225,-0.2078943339564277
r509,0.20745462271231035
1fr89la,0.20632333551678828
