Description,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Model config
LogReg train,0.09407986615719441,0.7626134927019883,0.1674965133816727,0.7994895711230778,273947,13271,4131,127790,model_302
LogReg test,0.08010505581089954,0.6190161041253033,0.1418532935645316,0.6873520930283876,68128,2806,1727,32223,model_302
