,Description,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Model config
0,Main BRF only cat and num (train),0.9988897300025233,0.9853881960520747,0.9920930290841197,0.9983938504253523,40129,39586,587,44,model_305
0,Main BRF only cat and num (test),0.10077796017414889,0.31149349216854183,0.15228645383951686,0.6961079802041317,87752,1412,3121,12599,model_305
