,Description,Precision,Recal,F1-Score,AUC,TN,TP,FN,FP,Model config
0,Main BRF only cat and num (train),0.9987383932176019,0.9852886266895676,0.9919679218094105,0.998394860420006,40123,39582,591,50,model_305
0,Main BRF only cat and num (test),0.10061941803514837,0.3081844253253916,0.15170766139979366,0.6964679927568507,87864,1397,3136,12487,model_305
